GPU Devices:
[PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
{'loss': 0.0244, 'grad_norm': 0.01067991741001606, 'learning_rate': 1.691169671752196e-05, 'epoch': 0.46}
{'loss': 0.0614, 'grad_norm': 36.477684020996094, 'learning_rate': 1.6893203883495145e-05, 'epoch': 0.47}
{'loss': 0.0259, 'grad_norm': 13.509390830993652, 'learning_rate': 1.6874711049468333e-05, 'epoch': 0.47}
{'loss': 0.0109, 'grad_norm': 0.0017555395606905222, 'learning_rate': 1.6856218215441518e-05, 'epoch': 0.47}
{'loss': 0.0053, 'grad_norm': 0.009790000505745411, 'learning_rate': 1.6837725381414702e-05, 'epoch': 0.47}
{'loss': 0.0274, 'grad_norm': 0.10245272517204285, 'learning_rate': 1.681923254738789e-05, 'epoch': 0.48}
{'loss': 0.0975, 'grad_norm': 0.100133016705513, 'learning_rate': 1.6800739713361075e-05, 'epoch': 0.48}
{'loss': 0.056, 'grad_norm': 0.022776639088988304, 'learning_rate': 1.678224687933426e-05, 'epoch': 0.48}
{'loss': 0.0136, 'grad_norm': 0.028805412352085114, 'learning_rate': 1.6763754045307445e-05, 'epoch': 0.49}
{'loss': 0.0639, 'grad_norm': 31.5162296295166, 'learning_rate': 1.674526121128063e-05, 'epoch': 0.49}
{'loss': 0.0007, 'grad_norm': 0.040578171610832214, 'learning_rate': 1.6726768377253814e-05, 'epoch': 0.49}
{'loss': 0.0547, 'grad_norm': 14.374848365783691, 'learning_rate': 1.6708275543227002e-05, 'epoch': 0.49}
{'loss': 0.1092, 'grad_norm': 0.024009007960557938, 'learning_rate': 1.6689782709200187e-05, 'epoch': 0.5}
{'loss': 0.0018, 'grad_norm': 0.07572080940008163, 'learning_rate': 1.667128987517337e-05, 'epoch': 0.5}
{'loss': 0.0028, 'grad_norm': 0.11641860753297806, 'learning_rate': 1.665279704114656e-05, 'epoch': 0.5}
{'loss': 0.0495, 'grad_norm': 0.2051955908536911, 'learning_rate': 1.6634304207119744e-05, 'epoch': 0.5}
{'loss': 0.0436, 'grad_norm': 0.004276508465409279, 'learning_rate': 1.661581137309293e-05, 'epoch': 0.51}
{'loss': 0.0012, 'grad_norm': 0.2963722348213196, 'learning_rate': 1.6597318539066113e-05, 'epoch': 0.51}
{'loss': 0.0506, 'grad_norm': 0.07870136946439743, 'learning_rate': 1.6578825705039298e-05, 'epoch': 0.51}
{'loss': 0.0395, 'grad_norm': 43.475948333740234, 'learning_rate': 1.6560332871012483e-05, 'epoch': 0.52}
